"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
16	0.821358428805237	15	15	"Churn"	"Yes"	0.1
17	0.862060460409815	15	15	"Churn"	"Yes"	0.1
18	0.850553003232942	14	15	"Churn"	"Yes"	0.1
19	0.828802696939736	15	15	"Churn"	"Yes"	0.1
20	0.854163705665741	15	15	"Churn"	"Yes"	0.1
21	0.797973721514765	15	15	"Churn"	"Yes"	0.1
22	0.846287592189232	15	15	"Churn"	"Yes"	0.1
23	0.836957335329341	15	15	"Churn"	"Yes"	0.1
24	0.878274851035657	15	15	"Churn"	"Yes"	0.1
25	0.843191313641663	15	15	"Churn"	"Yes"	0.1
26	0.821152935606061	15	15	"Churn"	"Yes"	0.1
27	0.836129296235679	15	15	"Churn"	"Yes"	0.1
28	0.860778811598484	15	15	"Churn"	"Yes"	0.1
29	0.842233790367732	15	15	"Churn"	"Yes"	0.1
30	0.843302555021503	15	15	"Churn"	"Yes"	0.1
1	0.829110238269295	16	16	"Churn"	"Yes"	0.1
2	0.873062131555485	16	16	"Churn"	"Yes"	0.1
3	0.88296186879817	15	16	"Churn"	"Yes"	0.1
4	0.822429277809546	16	16	"Churn"	"Yes"	0.1
5	0.779324961134862	16	16	"Churn"	"Yes"	0.1
6	0.839225855033035	15	16	"Churn"	"Yes"	0.1
